tree,ssw,zul
ExtPhrConj (PhrUtt NoPConj (UttS (UseCl TPresTemp PPos (PredVP (UsePron (ProDrop we_Pron)) (ComplV2 open_V2 (DetCN (DetNum NumSg) (UseN gate_N)))))) NoVoc) (PhrUtt NoPConj (SubjunctS (UseCl TPresTemp PPos (PredVP (UsePron (ProDrop we_Pron)) (UseV enter_V)))) NoVoc),sivula lisango singene,sivula isango singene
ExtPhrConj (PhrUtt NoPConj (UttS (UseCl TPresTemp PPos (PredVP (UsePron (ProDrop youSg_Pron)) (ComplV2 open_V2 (DetCN (DetNum NumPl) (UseN gate_N)))))) NoVoc) (PhrUtt NoPConj (SubjunctS (UseCl TPresTemp PPos (PredVP (UsePron (ProDrop we_Pron)) (UseV enter_V)))) NoVoc),uvula emasango singene,uvula amasango singene
ExtPhrConj (PhrUtt NoPConj (UttS (UseCl TPresTemp PPos (PredVP (UsePron (ProDrop youSg_Pron)) (ComplV2 open_V2 (DetCN (DetNum NumSg) (UseN gate_N)))))) NoVoc) (PhrUtt NoPConj (SubjunctS (UseCl TPresTemp PPos (PredVP (UsePron (ProDrop we_Pron)) (UseV enter_V)))) NoVoc),uvula lisango singene,uvula isango singene
ExtPhrConj (PhrUtt NoPConj (UttS (UseCl TPresTemp PPos (PredVP (UsePron (ProDrop youSg_Pron)) (ComplV2 open_V2 (DetCN (DetNum NumSg) (UseN gate_N)))))) NoVoc) (PhrUtt NoPConj (SubjunctS (UseCl TPresTemp PPos (PredVP (UsePron (ProDrop youPl_Pron)) (UseV enter_V)))) NoVoc),uvula lisango ningene,uvula isango ningene
PhrUtt NoPConj (ConsecS (UseCl TPastTemp PNeg (PredVP (DetCN (DetNum NumPl) (UseN tree_N)) (AdvVP (UseV dry_V) quickly_Adv)))) NoVoc,imiti yangoma masinya,imithi yangoma masinya
PhrUtt NoPConj (ConsecS (UseCl TPastTemp PNeg (PredVP (DetCN (DetNum NumSg) (UseN tree_N)) (AdvVP (UseV dry_V) quickly_Adv)))) NoVoc,umuti wangoma masinya,umuthi wangoma masinya
PhrUtt NoPConj (ConsecS (UseCl TPastTemp PPos (PredVP (DetCN (DetNum NumPl) (UseN tree_N)) (AdvVP (UseV dry_V) quickly_Adv)))) NoVoc,imiti yoma masinya,imithi yoma masinya
PhrUtt NoPConj (ConsecS (UseCl TPastTemp PPos (PredVP (DetCN (DetNum NumSg) (UseN tree_N)) (AdvVP (UseV dry_V) quickly_Adv)))) NoVoc,umuti woma masinya,umuthi woma masinya
PhrUtt NoPConj (UttImpPl PNeg (ImpVP (AdvVP (UseV play_V) (PositAdvAdj nice_R)))) (VocNP (DetCN (DetNum NumPl) (UseN boy_N))),ningadlali kamnandzi bafana,ningadlali kamnandi bafana
PhrUtt NoPConj (UttImpPl PNeg (ImpVP (AdvVP (UseV play_V) (PositAdvAdj nice_R)))) (VocNP (DetCN (DetNum NumSg) (UseN boy_N))),ningadlali kamnandzi mfana,ningadlali kamnandi mfana
PhrUtt NoPConj (UttImpPl PNeg (ImpVP (ComplV2Light plough_V2 (DetCN (DetNum NumPl) (UseN field_N))))) NoVoc,ningawalimi emasimu,ningawalimi amasimu
PhrUtt NoPConj (UttImpPl PNeg (ImpVP (ComplV2Light plough_V2 (DetCN (DetNum NumSg) (UseN field_N))))) NoVoc,ningayilimi insimu,ningayilimi insimu
PhrUtt NoPConj (UttImpPl PNeg (ImpVP (ComplV2Nonspec read_V2 (UsePron (ProDrop it7_Pron))))) (VocNP (DetCN (DetNum NumPl) (UseN boy_N))),,
PhrUtt NoPConj (UttImpPl PNeg (ImpVP (ComplV2Nonspec read_V2 (UsePron (ProDrop it7_Pron))))) (VocNP (DetCN (DetNum NumSg) (UseN boy_N))),,
PhrUtt NoPConj (UttImpPl PNeg (ImpVP (ComplV2Nonspec read_V2 (UsePron (ProDrop they8_Pron))))) (VocNP (DetCN (DetNum NumSg) (UseN boy_N))),,
PhrUtt NoPConj (UttImpPl PNeg (ImpVP (UseV dance_2_V))) NoVoc,ningasini,ningasini
PhrUtt NoPConj (UttImpPl PNeg (ImpVP (UseV do_V))) NoVoc,ningenti,ningenzi
PhrUtt NoPConj (UttImpPl PNeg (ImpVP (UseV read_V))) NoVoc,ningafundzi,ningafundi
PhrUtt NoPConj (UttImpPl PNeg (ImpVP (UseV sleep_V))) NoVoc,ningalali,ningalali
PhrUtt NoPConj (UttImpPl PPos (ImpVP (AdvVP (UseV play_V) (PositAdvAdj nice_R)))) (VocNP (DetCN (DetNum NumPl) (UseN boy_N))),dlalani kamnandzi bafana,dlalani kamnandi bafana
PhrUtt NoPConj (UttImpPl PPos (ImpVP (AdvVP (UseV play_V) (PositAdvAdj nice_R)))) (VocNP (DetCN (DetNum NumSg) (UseN boy_N))),dlalani kamnandzi mfana,dlalani kamnandi mfana
PhrUtt NoPConj (UttImpPl PPos (ImpVP (ComplV2Light plough_V2 (DetCN (DetNum NumPl) (UseN field_N))))) NoVoc,walimeni emasimu,walimeni amasimu
PhrUtt NoPConj (UttImpPl PPos (ImpVP (ComplV2Light plough_V2 (DetCN (DetNum NumSg) (UseN field_N))))) NoVoc,yilimeni insimu,yilimeni insimu
PhrUtt NoPConj (UttImpPl PPos (ImpVP (ComplV2Nonspec read_V2 (UsePron (ProDrop it7_Pron))))) (VocNP (DetCN (DetNum NumPl) (UseN boy_N))),sifundzeni bafana,sifundeni bafana
PhrUtt NoPConj (UttImpPl PPos (ImpVP (ComplV2Nonspec read_V2 (UsePron (ProDrop they8_Pron))))) (VocNP (DetCN (DetNum NumPl) (UseN boy_N))),tifundzeni bafana,zifundeni bafana
PhrUtt NoPConj (UttImpPl PPos (ImpVP (ComplV2Nonspec read_V2 (UsePron (ProDrop they8_Pron))))) (VocNP (DetCN (DetNum NumSg) (UseN boy_N))),tifundzeni mfana,zifundeni mfana
PhrUtt NoPConj (UttImpPl PPos (ImpVP (ComplVV do_not_VV (ComplV2Light plough_V2 (DetCN (DetNum NumPl) (UseN field_N)))))) NoVoc,musani kuwalima emasimu,musani ukuwalima amasimu
PhrUtt NoPConj (UttImpPl PPos (ImpVP (ComplVV do_not_VV (ComplV2Light plough_V2 (DetCN (DetNum NumSg) (UseN field_N)))))) NoVoc,musani kuyilima insimu,musani ukuyilima insimu
PhrUtt NoPConj (UttImpPl PPos (ImpVP (ComplVV do_not_VV (UseV learn_V)))) NoVoc,musani kufundza,musani ukufunda
PhrUtt NoPConj (UttImpPl PPos (ImpVP (ComplVV do_not_VV (UseV sleep_V)))) NoVoc,musani kulala,musani ukulala
PhrUtt NoPConj (UttImpPl PPos (ImpVP (UseV dance_2_V))) NoVoc,sinani,sinani
PhrUtt NoPConj (UttImpPl PPos (ImpVP (UseV do_V))) NoVoc,yentani,yenzani
PhrUtt NoPConj (UttImpPl PPos (ImpVP (UseV read_V))) NoVoc,fundzani,fundani
PhrUtt NoPConj (UttImpPl PPos (ImpVP (UseV sleep_V))) NoVoc,lalani,lalani
PhrUtt NoPConj (UttImpSg PNeg (ImpVP (AdvVP (ComplV2 buy_V2 (RelNP (DetCN (DetNum NumPl) (UseN blanket_N)) (UseRCl TPastTemp PPos (RelVP IdRP (CopAP (PositA one_Enum)))))) only_Adv))) NoVoc,ungatsengi tingubo tinye kuphela,ungathengi izingubo zinye kuphela
PhrUtt NoPConj (UttImpSg PNeg (ImpVP (AdvVP (ComplV2 buy_V2 (RelNP (DetCN (DetNum NumPl) (UseN blanket_N)) (UseRCl TPresTemp PPos (RelVP IdRP (CopAP (PositA one_Enum)))))) only_Adv))) NoVoc,ungatsengi tingubo tinye kuphela,ungathengi izingubo zinye kuphela
PhrUtt NoPConj (UttImpSg PNeg (ImpVP (AdvVP (ComplV2 buy_V2 (RelNP (DetCN (DetNum NumSg) (UseN blanket_N)) (UseRCl TFutTemp PPos (RelVP IdRP (CopAP (PositA one_Enum)))))) only_Adv))) NoVoc,ungatsengi ingubo itoba nye kuphela,ungathengi ingubo izoba nye kuphela
PhrUtt NoPConj (UttImpSg PNeg (ImpVP (AdvVP (ComplV2 buy_V2 (RelNP (DetCN (DetNum NumSg) (UseN blanket_N)) (UseRCl TPresTemp PNeg (RelVP IdRP (CopAP (PositA one_Enum)))))) only_Adv))) NoVoc,ungatsengi ingubo ngeingenye kuphela,ungathengi ingubo ngeingenye kuphela
PhrUtt NoPConj (UttImpSg PNeg (ImpVP (AdvVP (ComplV2 buy_V2 (RelNP (DetCN (DetNum NumSg) (UseN blanket_N)) (UseRCl TPresTemp PPos (RelVP IdRP (CopAP (PositA one_Enum)))))) only_Adv))) NoVoc,ungatsengi ingubo inye kuphela,ungathengi ingubo inye kuphela
PhrUtt NoPConj (UttImpSg PNeg (ImpVP (AdvVP (UseV do_V) like_this_Adv))) NoVoc,ungenti kanje,ungenzi kanje
PhrUtt NoPConj (UttImpSg PNeg (ImpVP (AdvVP (UseV go_V) (PositAdvAdj good_A)))) NoVoc,ungahambi kahle,ungahambi kahle
PhrUtt NoPConj (UttImpSg PNeg (ImpVP (AdvVP (UseV plough_V) (PositAdvAdj good_A)))) (VocNP (DetCN (DetNum NumPl) (UseN farmer_N))),ungalimi kahle balimi,ungalimi kahle balimi
PhrUtt NoPConj (UttImpSg PNeg (ImpVP (AdvVP (UseV plough_V) (PositAdvAdj good_A)))) (VocNP (DetCN (DetNum NumSg) (UseN farmer_N))),ungalimi kahle mlimi,ungalimi kahle mlimi
PhrUtt NoPConj (UttImpSg PNeg (ImpVP (AdvVP (UseV run_V) much_Adv))) NoVoc,ungagijimi kakhulu,ungagijimi kakhulu
PhrUtt NoPConj (UttImpSg PNeg (ImpVP (AdvVP (UseV sit_V) down_Adv))) NoVoc,ungahlali phansi,ungahlali phansi
PhrUtt NoPConj (UttImpSg PNeg (ImpVP (AdvVP (UseV stay_V) (PositAdvAdj good_A)))) NoVoc,ungasali kahle,ungasali kahle
PhrUtt NoPConj (UttImpSg PNeg (ImpVP (ComplV2 call_V2 (UsePron (ProDrop he_Pron))))) (VocNP (DetCN (DetNum NumSg) (UseN girl_N))),ungambiti ntfombi,ungambizi ntombi
PhrUtt NoPConj (UttImpSg PNeg (ImpVP (ComplV2 call_V2 (UsePron (ProDrop i_Pron))))) (VocNP (DetCN (DetNum NumSg) (UseN girl_N))),ungangibiti ntfombi,ungangibizi ntombi
PhrUtt NoPConj (UttImpSg PNeg (ImpVP (ComplV2 call_V2 (UsePron (ProDrop they_Pron))))) (VocNP (DetCN (DetNum NumPl) (UseN girl_N))),ungababiti tintfombi,ungababizi zintombi
PhrUtt NoPConj (UttImpSg PNeg (ImpVP (ComplV2 call_V2 (UsePron (ProDrop they_Pron))))) (VocNP (DetCN (DetNum NumSg) (UseN girl_N))),ungababiti ntfombi,ungababizi ntombi
PhrUtt NoPConj (UttImpSg PNeg (ImpVP (ComplV2 call_V2 (UsePron (ProDrop we_Pron))))) (VocNP (DetCN (DetNum NumSg) (UseN girl_N))),ungasibiti ntfombi,ungasibizi ntombi
PhrUtt NoPConj (UttImpSg PNeg (ImpVP (UseV bring_V))) NoVoc,ungaletsi,ungalethi
PhrUtt NoPConj (UttImpSg PNeg (ImpVP (UseV build_V))) NoVoc,ungakhi,ungakhi
PhrUtt NoPConj (UttImpSg PNeg (ImpVP (UseV cry_V))) NoVoc,ungakhali,ungakhali
PhrUtt NoPConj (UttImpSg PNeg (ImpVP (UseV eat_V))) NoVoc,ungadli,ungadli
PhrUtt NoPConj (UttImpSg PNeg (ImpVP (UseV go_V))) NoVoc,ungahambi,ungahambi
PhrUtt NoPConj (UttImpSg PNeg (ImpVP (UseV hit_V))) NoVoc,ungashayi,ungashayi
PhrUtt NoPConj (UttImpSg PNeg (ImpVP (UseV roast_V))) NoVoc,ungosi,ungosi
PhrUtt NoPConj (UttImpSg PPos (ImpVP (AdvVP (ComplV2 buy_V2 (RelNP (DetCN (DetNum NumPl) (UseN blanket_N)) (UseRCl TFutTemp PPos (RelVP IdRP (CopAP (PositA one_Enum)))))) only_Adv))) NoVoc,tsenga tingubo titoba nye kuphela,thenga izingubo zizoba nye kuphela
PhrUtt NoPConj (UttImpSg PPos (ImpVP (AdvVP (ComplV2 buy_V2 (RelNP (DetCN (DetNum NumPl) (UseN blanket_N)) (UseRCl TPastTemp PPos (RelVP IdRP (CopAP (PositA one_Enum)))))) only_Adv))) NoVoc,tsenga tingubo tinye kuphela,thenga izingubo zinye kuphela
PhrUtt NoPConj (UttImpSg PPos (ImpVP (AdvVP (ComplV2 buy_V2 (RelNP (DetCN (DetNum NumPl) (UseN blanket_N)) (UseRCl TPresTemp PPos (RelVP IdRP (CopAP (PositA one_Enum)))))) only_Adv))) NoVoc,tsenga tingubo tinye kuphela,thenga izingubo zinye kuphela
PhrUtt NoPConj (UttImpSg PPos (ImpVP (AdvVP (ComplV2 buy_V2 (RelNP (DetCN (DetNum NumSg) (UseN blanket_N)) (UseRCl TFutTemp PPos (RelVP IdRP (CopAP (PositA one_Enum)))))) only_Adv))) NoVoc,tsenga ingubo itoba nye kuphela,thenga ingubo izoba nye kuphela
PhrUtt NoPConj (UttImpSg PPos (ImpVP (AdvVP (ComplV2 buy_V2 (RelNP (DetCN (DetNum NumSg) (UseN blanket_N)) (UseRCl TPastTemp PPos (RelVP IdRP (CopAP (PositA one_Enum)))))) only_Adv))) NoVoc,tsenga ingubo inye kuphela,thenga ingubo inye kuphela
PhrUtt NoPConj (UttImpSg PPos (ImpVP (AdvVP (ComplV2 buy_V2 (RelNP (DetCN (DetNum NumSg) (UseN blanket_N)) (UseRCl TPresTemp PPos (RelVP IdRP (CopAP (PositA one_Enum)))))) only_Adv))) NoVoc,tsenga ingubo inye kuphela,thenga ingubo inye kuphela
PhrUtt NoPConj (UttImpSg PPos (ImpVP (AdvVP (UseV do_V) like_this_Adv))) NoVoc,yenta kanje,yenza kanje
PhrUtt NoPConj (UttImpSg PPos (ImpVP (AdvVP (UseV go_V) (PositAdvAdj good_A)))) NoVoc,hamba kahle,hamba kahle
PhrUtt NoPConj (UttImpSg PPos (ImpVP (AdvVP (UseV plough_V) (PositAdvAdj good_A)))) (VocNP (DetCN (DetNum NumPl) (UseN farmer_N))),lima kahle balimi,lima kahle balimi
PhrUtt NoPConj (UttImpSg PPos (ImpVP (AdvVP (UseV plough_V) (PositAdvAdj good_A)))) (VocNP (DetCN (DetNum NumSg) (UseN farmer_N))),lima kahle mlimi,lima kahle mlimi
PhrUtt NoPConj (UttImpSg PPos (ImpVP (AdvVP (UseV run_V) much_Adv))) NoVoc,gijima kakhulu,gijima kakhulu
PhrUtt NoPConj (UttImpSg PPos (ImpVP (AdvVP (UseV sit_V) down_Adv))) NoVoc,hlala phansi,hlala phansi
PhrUtt NoPConj (UttImpSg PPos (ImpVP (AdvVP (UseV stay_V) (PositAdvAdj good_A)))) NoVoc,sala kahle,sala kahle
PhrUtt NoPConj (UttImpSg PPos (ImpVP (ComplV2 call_V2 (UsePron (ProDrop he_Pron))))) (VocNP (DetCN (DetNum NumSg) (UseN girl_N))),mbite ntfombi,mbize ntombi
PhrUtt NoPConj (UttImpSg PPos (ImpVP (ComplV2 call_V2 (UsePron (ProDrop i_Pron))))) (VocNP (DetCN (DetNum NumSg) (UseN girl_N))),ngibite ntfombi,ngibize ntombi
PhrUtt NoPConj (UttImpSg PPos (ImpVP (ComplV2 call_V2 (UsePron (ProDrop they_Pron))))) (VocNP (DetCN (DetNum NumSg) (UseN girl_N))),babite ntfombi,babize ntombi
PhrUtt NoPConj (UttImpSg PPos (ImpVP (ComplV2 call_V2 (UsePron (ProDrop we_Pron))))) (VocNP (DetCN (DetNum NumSg) (UseN girl_N))),sibite ntfombi,sibize ntombi
PhrUtt NoPConj (UttImpSg PPos (ImpVP (ComplVV do_not_VV (UseV go_V)))) NoVoc,musa kuhamba,musa ukuhamba
PhrUtt NoPConj (UttImpSg PPos (ImpVP (UseV bring_V))) NoVoc,letsa,letha
PhrUtt NoPConj (UttImpSg PPos (ImpVP (UseV build_V))) NoVoc,yakha,yakha
PhrUtt NoPConj (UttImpSg PPos (ImpVP (UseV cry_V))) NoVoc,khala,khala
PhrUtt NoPConj (UttImpSg PPos (ImpVP (UseV eat_V))) NoVoc,dlani,yidla
PhrUtt NoPConj (UttImpSg PPos (ImpVP (UseV go_V))) NoVoc,hamba,hamba
PhrUtt NoPConj (UttImpSg PPos (ImpVP (UseV hit_V))) NoVoc,shaya,shaya
PhrUtt NoPConj (UttImpSg PPos (ImpVP (UseV roast_V))) NoVoc,yosa,yosa
PhrUtt NoPConj (UttS (AdvS (LocAdvAdv (LocNPAdv (DetCN (DetNum NumSg) (UseN school_N)))) (UseCl TFutTemp PNeg (PredVP (UsePron (ProDrop he_Pron)) (AdvVP (UseV play_V) (LocAdvAdv (LocNPJustLikeAdv (DetCN (DetNum NumSg) (UseN home_N))))))))) NoVoc,esikolweni akatukudlala njengasekhaya,esikoleni akazukudlala njengasekhaya
PhrUtt NoPConj (UttS (AdvS (LocAdvAdv (LocNPAdv (DetCN (DetNum NumSg) (UseN school_N)))) (UseCl TFutTemp PNeg (PredVP (UsePron (ProDrop i_Pron)) (AdvVP (UseV play_V) (LocAdvAdv (LocNPJustLikeAdv (DetCN (DetNum NumSg) (UseN home_N))))))))) NoVoc,esikolweni angitukudlala njengasekhaya,esikoleni angizukudlala njengasekhaya
PhrUtt NoPConj (UttS (AdvS (LocAdvAdv (LocNPAdv (DetCN (DetNum NumSg) (UseN school_N)))) (UseCl TPastTemp PNeg (PredVP (UsePron (ProDrop he_Pron)) (AdvVP (UseV play_V) (LocAdvAdv (LocNPJustLikeAdv (DetCN (DetNum NumSg) (UseN home_N))))))))) NoVoc,esikolweni akadlelanga njengasekhaya,esikoleni akadlelanga njengasekhaya
PhrUtt NoPConj (UttS (AdvS (LocAdvAdv (LocNPAdv (DetCN (DetNum NumSg) (UseN school_N)))) (UseCl TPastTemp PNeg (PredVP (UsePron (ProDrop i_Pron)) (AdvVP (UseV play_V) (LocAdvAdv (LocNPJustLikeAdv (DetCN (DetNum NumSg) (UseN home_N))))))))) NoVoc,esikolweni angidlelanga njengasekhaya,esikoleni angidlelanga njengasekhaya
PhrUtt NoPConj (UttS (AdvS (LocAdvAdv (LocNPAdv (DetCN (DetNum NumSg) (UseN school_N)))) (UseCl TPastTemp PNeg (PredVP (UsePron (ProDrop we_Pron)) (AdvVP (UseV play_V) (LocAdvAdv (LocNPJustLikeAdv (DetCN (DetNum NumSg) (UseN home_N))))))))) NoVoc,esikolweni asidlelanga njengasekhaya,esikoleni asidlelanga njengasekhaya
PhrUtt NoPConj (UttS (AdvS (LocAdvAdv (LocNPAdv (DetCN (DetNum NumSg) (UseN school_N)))) (UseCl TPastTemp PNeg (PredVP (UsePron (ProDrop youPl_Pron)) (AdvVP (UseV play_V) (LocAdvAdv (LocNPJustLikeAdv (DetCN (DetNum NumSg) (UseN home_N))))))))) NoVoc,esikolweni anidlelanga njengasekhaya,esikoleni anidlelanga njengasekhaya
PhrUtt NoPConj (UttS (AdvS (LocAdvAdv (LocNPAdv (DetCN (DetNum NumSg) (UseN school_N)))) (UseCl TPastTemp PPos (PredVP (UsePron (ProDrop he_Pron)) (AdvVP (UseV play_V) (LocAdvAdv (LocNPJustLikeAdv (DetCN (DetNum NumSg) (UseN home_N))))))))) NoVoc,esikolweni udlele njengasekhaya,esikoleni udlele njengasekhaya
PhrUtt NoPConj (UttS (AdvS (LocAdvAdv (LocNPAdv (DetCN (DetNum NumSg) (UseN school_N)))) (UseCl TPastTemp PPos (PredVP (UsePron (ProDrop youPl_Pron)) (AdvVP (UseV play_V) (LocAdvAdv (LocNPJustLikeAdv (DetCN (DetNum NumSg) (UseN home_N))))))))) NoVoc,esikolweni nidlele njengasekhaya,esikoleni nidlele njengasekhaya
PhrUtt NoPConj (UttS (AdvS (LocAdvAdv (LocNPAdv (DetCN (DetNum NumSg) (UseN school_N)))) (UseCl TPresTemp PNeg (PredVP (UsePron (ProDrop he_Pron)) (AdvVP (UseV play_V) (LocAdvAdv (LocNPJustLikeAdv (DetCN (DetNum NumSg) (UseN home_N))))))))) NoVoc,esikolweni akadlali njengasekhaya,esikoleni akadlali njengasekhaya
PhrUtt NoPConj (UttS (AdvS (LocAdvAdv (LocNPAdv (DetCN (DetNum NumSg) (UseN school_N)))) (UseCl TPresTemp PNeg (PredVP (UsePron (ProDrop we_Pron)) (AdvVP (UseV play_V) (LocAdvAdv (LocNPJustLikeAdv (DetCN (DetNum NumSg) (UseN home_N))))))))) NoVoc,esikolweni asidlali njengasekhaya,esikoleni asidlali njengasekhaya
PhrUtt NoPConj (UttS (AdvS (LocAdvAdv (LocNPAdv (DetCN (DetNum NumSg) (UseN school_N)))) (UseCl TPresTemp PPos (PredVP (UsePron (ProDrop i_Pron)) (AdvVP (UseV play_V) (LocAdvAdv (LocNPJustLikeAdv (DetCN (DetNum NumSg) (UseN home_N))))))))) NoVoc,esikolweni ngidlala njengasekhaya,esikoleni ngidlala njengasekhaya
PhrUtt NoPConj (UttS (AdvS (LocAdvAdv (LocNPAdv (DetCN (DetNum NumSg) (UseN school_N)))) (UseCl TPresTemp PPos (PredVP (UsePron (ProDrop we_Pron)) (AdvVP (UseV play_V) (LocAdvAdv (LocNPJustLikeAdv (DetCN (DetNum NumSg) (UseN home_N))))))))) NoVoc,esikolweni sidlala njengasekhaya,esikoleni sidlala njengasekhaya
PhrUtt NoPConj (UttS (AdvS outside_Adv (UseCl TFutTemp PNeg (PredVP (UsePron (ProDrop it17_Pron)) (UseV burn_V))))) NoVoc,phandle akutukushisa,phandle akuzukushisa
PhrUtt NoPConj (UttS (AdvS outside_Adv (UseCl TFutTemp PPos (PredVP (UsePron (ProDrop it17_Pron)) (UseV burn_V))))) NoVoc,phandle kutoshisa,phandle kuzoshisa
PhrUtt NoPConj (UttS (AdvS outside_Adv (UseCl TPastTemp PNeg (PredVP (UsePron (ProDrop it17_Pron)) (UseV burn_V))))) NoVoc,phandle akushisanga,phandle akushisanga
PhrUtt NoPConj (UttS (AdvS outside_Adv (UseCl TPastTemp PPos (PredVP (UsePron (ProDrop it17_Pron)) (UseV burn_V))))) NoVoc,phandle kushisile,phandle kushisile
PhrUtt NoPConj (UttS (AdvS outside_Adv (UseCl TPresTemp PNeg (PredVP (UsePron (ProDrop it17_Pron)) (UseV burn_V))))) NoVoc,phandle akushisi,phandle akushisi
PhrUtt NoPConj (UttS (AdvS outside_Adv (UseCl TPresTemp PPos (PredVP (UsePron (ProDrop it17_Pron)) (UseV burn_V))))) NoVoc,phandle kuyashisa,phandle kuyashisa
PhrUtt NoPConj (UttS (ExistAppos (DetCN (DetNum NumPl) (UseN baboon_N)) (DetCN (DetNum NumSg) (UseN animal_N)))) NoVoc,timfene silwane,izimfene yisilwane
PhrUtt NoPConj (UttS (ExistAppos (DetCN (DetNum NumPl) (UseN elephant_N)) (DetCN (DetNum NumSg) (UseN animal_N)))) NoVoc,tindlovu silwane,izindlovu yisilwane
PhrUtt NoPConj (UttS (ExistAppos (DetCN (DetNum NumPl) (UseN lion_N)) (DetCN (DetNum NumSg) (UseN animal_N)))) NoVoc,emabhubesi silwane,amabhubesi ngisilwane
PhrUtt NoPConj (UttS (ExistAppos (DetCN (DetNum NumPl) (UseN snake_N)) (DetCN (DetNum NumSg) (UseN animal_N)))) NoVoc,tinyoka silwane,izinyoka yisilwane
PhrUtt NoPConj (UttS (ExistAppos (DetCN (DetNum NumSg) (UseN baboon_N)) (DetCN (DetNum NumSg) (UseN animal_N)))) NoVoc,imfene silwane,imfene yisilwane
PhrUtt NoPConj (UttS (ExistAppos (DetCN (DetNum NumSg) (UseN hare_N)) (DetCN (DetNum NumSg) (UseN animal_N)))) NoVoc,logwaja silwane,unogwaja ngisilwane
